run_name,model_size,context_length,stage,calls,cpu_time_total_ms,cuda_time_total_ms,measure_cuda_time_total_ms,stage_cuda_fraction_percent
medium_c1024,medium,1024,profile/measure,1,677.454948,240.637977,240.637977,100.000
medium_c1024,medium,1024,forward,1,0.000000,205.598238,240.637977,85.439
medium_c1024,medium,1024,backward,1,418.844660,0.000832,240.637977,0.000
medium_c1024,medium,1024,optimizer,1,191.802870,35.031491,240.637977,14.558
medium_c1024,medium,1024,attention/scores,24,0.000000,32.482206,240.637977,13.498
medium_c1024,medium,1024,attention/softmax,24,0.000000,55.919489,240.637977,23.238
medium_c1024,medium,1024,attention/value,24,0.000000,10.493870,240.637977,4.361
medium_c256,medium,256,profile/measure,1,242.013204,60.395125,60.395125,100.000
medium_c256,medium,256,forward,1,0.000000,59.168557,60.395125,97.969
medium_c256,medium,256,backward,1,117.331810,0.000832,60.395125,0.001
medium_c256,medium,256,optimizer,1,61.536069,30.122527,60.395125,49.876
medium_c256,medium,256,attention/scores,24,0.000000,2.874064,60.395125,4.759
medium_c256,medium,256,attention/softmax,24,0.000000,2.487018,60.395125,4.118
medium_c256,medium,256,attention/value,24,0.000000,1.355412,60.395125,2.244
medium_c512,medium,512,profile/measure,1,280.049154,107.566301,107.566301,100.000
medium_c512,medium,512,forward,1,0.000000,74.969103,107.566301,69.696
medium_c512,medium,512,backward,1,119.969812,0.000897,107.566301,0.001
medium_c512,medium,512,optimizer,1,97.581727,33.741845,107.566301,31.368
medium_c512,medium,512,attention/scores,24,0.000000,7.813150,107.566301,7.264
medium_c512,medium,512,attention/softmax,24,0.000000,11.395323,107.566301,10.594
medium_c512,medium,512,attention/value,24,0.000000,2.846670,107.566301,2.646
small_c1024,small,1024,profile/measure,1,245.054292,83.926856,83.926856,100.000
small_c1024,small,1024,forward,1,0.000000,72.583327,83.926856,86.484
small_c1024,small,1024,backward,1,92.210936,0.000832,83.926856,0.001
small_c1024,small,1024,optimizer,1,120.044052,10.956397,83.926856,13.055
small_c1024,small,1024,attention/scores,12,0.000000,12.098468,83.926856,14.415
small_c1024,small,1024,attention/softmax,12,0.000000,21.017687,83.926856,25.043
small_c1024,small,1024,attention/value,12,0.000000,4.277222,83.926856,5.096
small_c256,small,256,profile/measure,1,131.559633,19.077294,19.077294,100.000
small_c256,small,256,forward,1,0.000000,37.537872,19.077294,196.767
small_c256,small,256,backward,1,58.204852,0.000832,19.077294,0.004
small_c256,small,256,optimizer,1,32.433431,8.800483,19.077294,46.131
small_c256,small,256,attention/scores,12,0.000000,1.688956,19.077294,8.853
small_c256,small,256,attention/softmax,12,0.000000,1.443511,19.077294,7.567
small_c256,small,256,attention/value,12,0.000000,0.818188,19.077294,4.289
small_c512,small,512,profile/measure,1,125.222403,33.246257,33.246257,100.000
small_c512,small,512,forward,1,0.000000,30.877590,33.246257,92.875
small_c512,small,512,backward,1,58.884110,0.000832,33.246257,0.003
small_c512,small,512,optimizer,1,32.885874,8.860479,33.246257,26.651
small_c512,small,512,attention/scores,12,0.000000,2.619850,33.246257,7.880
small_c512,small,512,attention/softmax,12,0.000000,2.755406,33.246257,8.288
small_c512,small,512,attention/value,12,0.000000,1.364726,33.246257,4.105
