model,implementation,seq_len,head_dim,phase,cold_start_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,status,error
attention,eager,512,64,forward,nan,0.1624634489417076,0.16324128955602646,0.16456544399261475,9.8125,22.0,ok,
attention,eager,512,64,forward-backward,nan,2.0027978345751762,2.0112814381718636,2.0319290459156036,18.8134765625,24.0,ok,
attention,eager,512,64,train-step,nan,1.958266831934452,2.008500974625349,2.0283546298742294,18.8134765625,24.0,ok,
attention,compiled,512,64,forward,1853.672556579113,0.08293110877275467,0.08385954424738884,0.08717365562915802,9.0009765625,46.0,ok,
attention,compiled,512,64,forward-backward,266.3650754839182,0.5112972110509872,0.5141915753483772,0.540471263229847,9.939453125,26.0,ok,
attention,compiled,512,64,train-step,0.606076791882515,0.5134968087077141,0.5154674872756004,0.5251895636320114,0.251953125,26.0,ok,
attention,eager,2048,128,forward,nan,0.16961228102445602,0.17016660422086716,0.17120689153671265,33.8134765625,68.0,ok,
attention,eager,2048,128,forward-backward,nan,0.6465869024395943,0.6484244950115681,0.6572790443897247,54.939453125,110.0,ok,
attention,eager,2048,128,train-step,nan,0.6461223587393761,0.6483704783022404,0.6598396226763725,54.939453125,110.0,ok,
attention,compiled,2048,128,forward,430.5856805294752,0.3052687272429466,0.306182075291872,0.30770786106586456,19.1259765625,110.0,ok,
attention,compiled,2048,128,forward-backward,554.7247901558876,1.8222453072667122,1.8806830048561096,1.898854412138462,32.626953125,50.0,ok,
attention,compiled,2048,128,train-step,1.8525561317801476,0.6971107795834541,0.7007354870438576,1.8284395337104802,2.001953125,50.0,ok,
attention,eager,8192,128,forward,nan,1.9782429561018944,1.980010885745287,1.981821469962597,399.6259765625,454.0,ok,
attention,eager,8192,128,forward-backward,nan,4.395723715424538,4.398328252136707,4.401344433426857,603.751953125,838.0,ok,
attention,eager,8192,128,train-step,nan,4.395721293985844,4.398335237056017,4.4013842940330505,603.751953125,838.0,ok,
attention,compiled,8192,128,forward,2.4393759667873383,1.0302335023880005,1.0323300957679749,1.0357171297073364,148.1259765625,966.0,ok,
attention,compiled,8192,128,forward-backward,3.2066432759165764,2.3564912378787994,2.3586764000356197,2.361752837896347,346.126953125,388.0,ok,
attention,compiled,8192,128,train-step,2.36706156283617,2.355429343879223,2.3578358814120293,2.3611364886164665,8.001953125,388.0,ok,
stanford-small,eager,512,64,forward,,19.791903905570507,19.87295923754573,20.03998402506113,1354.26220703125,1768.0,ok,
stanford-small,eager,512,64,forward-backward,,61.717622354626656,64.18214133009315,68.83268468081951,1414.8642578125,1900.0,ok,
stanford-small,eager,512,64,train-step,,70.11727411299944,73.411017190665,78.02672609686852,2517.40283203125,3210.0,ok,
stanford-small,compiled,512,64,forward,11424.063654616475,48.61325640231371,75.34353528171778,104.9825180321932,1107.916015625,3480.0,ok,
stanford-small,compiled,512,64,forward-backward,13739.539060741663,10.394932329654694,10.409337934106588,10.426274873316288,1133.87451171875,3624.0,ok,
stanford-small,compiled,512,64,train-step,18513.46460636705,15.171520039439201,15.485776588320732,15.895657986402512,2449.08935546875,2962.0,ok,
