implementation,batch_size,sequence_length,head_dim,dtype,causal,phase,warmup_ms,rep_ms,timer,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,status
eager,1,512,64,bf16,True,forward,100,300,triton.testing.do_bench,0.027648000046610832,0.027648000046610832,0.028672000393271446,265.9453125,278.0,ok
eager,1,512,64,bf16,True,backward,100,300,triton.testing.do_bench,0.2764799892902374,0.27852800488471985,0.2826240062713623,18.875,280.0,ok
eager,1,512,64,bf16,True,forward-backward,100,300,triton.testing.do_bench,0.21401600539684296,0.217056006193161,0.22323200106620789,274.875,280.0,ok
eager,1,512,128,bf16,True,forward,100,300,triton.testing.do_bench,0.027583999559283257,0.027648000046610832,0.027648000046610832,274.3828125,280.0,ok
eager,1,512,128,bf16,True,backward,100,300,triton.testing.do_bench,0.27750399708747864,0.3041920065879822,0.3164159953594208,19.25,280.0,ok
eager,1,512,128,bf16,True,forward-backward,100,300,triton.testing.do_bench,0.2170879989862442,0.22015999257564545,0.2252800017595291,275.25,280.0,ok
eager,1,2048,64,bf16,True,forward,100,300,triton.testing.do_bench,0.08089599758386612,0.08111999928951263,0.08191999793052673,297.53125,320.0,ok
eager,1,2048,64,bf16,True,backward,100,300,triton.testing.do_bench,0.2744320034980774,0.2754560112953186,0.27769601345062256,53.75,320.0,ok
eager,1,2048,64,bf16,True,forward-backward,100,300,triton.testing.do_bench,0.22015999257564545,0.22323200106620789,0.22924799621105194,309.75,320.0,ok
eager,1,2048,128,bf16,True,forward,100,300,triton.testing.do_bench,0.08499199897050858,0.08528000116348267,0.08601599931716919,298.78125,320.0,ok
eager,1,2048,128,bf16,True,backward,100,300,triton.testing.do_bench,0.27136000990867615,0.2734079957008362,0.28064000606536865,55.25,322.0,ok
eager,1,2048,128,bf16,True,forward-backward,100,300,triton.testing.do_bench,0.21503999829292297,0.22043199837207794,0.27881601452827454,311.25,322.0,ok
eager,1,8192,64,bf16,True,forward,100,300,triton.testing.do_bench,1.7519039630889892,1.7530879974365234,1.7541120052337646,661.375,706.0,ok
eager,1,8192,64,bf16,True,backward,100,300,triton.testing.do_bench,2.376703977584839,2.379456043243408,2.381824016571045,598.25,710.0,ok
eager,1,8192,64,bf16,True,forward-backward,100,300,triton.testing.do_bench,4.0714240074157715,4.073472023010254,4.075520038604736,854.25,966.0,ok
eager,1,8192,128,bf16,True,forward,100,300,triton.testing.do_bench,1.7827839851379395,1.7848320007324219,1.7879040241241455,666.375,966.0,ok
eager,1,8192,128,bf16,True,backward,100,300,triton.testing.do_bench,2.4289278984069824,2.430975914001465,2.4350719451904297,604.25,966.0,ok
eager,1,8192,128,bf16,True,forward-backward,100,300,triton.testing.do_bench,4.151411342620849,4.155392169952393,4.158016109466553,860.25,966.0,ok
