workload,implementation,batch_size,sequence_length,head_dim,dtype,causal,phase,warmup_ms,rep_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager,query_tile,key_tile,num_warps,num_stages,status,cold_start_ms,error_type,steady_samples_ms
attention,eager,1,512,64,bfloat16,True,forward,100,300,0.025599999353289604,0.026623999699950218,0.026623999699950218,266.5078125,280.0,1.0,,,,,success,261.9410492479801,,
attention,eager,1,512,64,bfloat16,True,backward,100,300,0.03276799991726875,0.03276799991726875,0.03379200026392937,274.875,280.0,1.0,,,,,success,0.34512951970100403,,
attention,eager,1,512,64,bfloat16,True,forward_backward,100,300,0.24899199604988098,0.2521279901266098,0.25702399015426636,275.6875,280.0,1.0,,,,,success,0.344596803188324,,
attention,compiled,1,512,64,bfloat16,True,forward,100,300,0.013311999849975109,0.013311999849975109,0.014336000196635723,273.625,278.0,2.0,,,,,success,32388.008277863264,,
attention,compiled,1,512,64,bfloat16,True,backward,100,300,0.025599999353289604,0.025599999353289604,0.026623999699950218,273.75,278.0,1.2800000291038311,,,,,success,0.3410540521144867,,
attention,compiled,1,512,64,bfloat16,True,forward_backward,100,300,0.16123519837856293,0.20787200331687927,0.25304319262504577,274.1875,278.0,1.2129001794545025,,,,,success,0.547211617231369,,
attention,eager,1,2048,128,bfloat16,True,forward,100,300,0.08089599758386612,0.08191999793052673,0.0820159986615181,307.28125,320.0,1.0,,,,,success,2.5124475359916687,,
attention,eager,1,2048,128,bfloat16,True,backward,100,300,0.1085439994931221,0.1085439994931221,0.10956799983978271,311.25,322.0,1.0,,,,,success,1.48729607462883,,
attention,eager,1,2048,128,bfloat16,True,forward_backward,100,300,0.18329599499702454,0.18559999763965607,0.18956799805164337,323.75,342.0,1.0,,,,,success,0.7341243326663971,,
attention,compiled,1,2048,128,bfloat16,True,forward,100,300,0.050175998359918594,0.05100800096988678,0.053247999399900436,291.25,372.0,1.6060225135834914,,,,,success,2606.933929026127,,
attention,compiled,1,2048,128,bfloat16,True,backward,100,300,0.06982400268316269,0.07065600156784058,0.07065600156784058,292.25,374.0,1.5362318427954524,,,,,success,2987.846441566944,,
attention,compiled,1,2048,128,bfloat16,True,forward_backward,100,300,0.218176007270813,0.31350401043891907,0.366784006357193,299.75,322.0,0.5920179374414002,,,,,success,0.9759776294231415,,
attention,eager,1,8192,128,bfloat16,True,forward,100,300,1.703935980796814,1.7059839963912964,1.7080320119857788,796.375,810.0,1.0,,,,,success,82.74081721901894,,
attention,eager,1,8192,128,bfloat16,True,backward,100,300,2.497068738937378,2.4995839595794678,2.50163197517395,860.25,938.0,1.0,,,,,success,5.902234464883804,,
attention,eager,1,8192,128,bfloat16,True,forward_backward,100,300,4.127744197845459,4.130784034729004,4.133887767791748,1054.25,1066.0,1.0,,,,,success,8.429527282714844,,
attention,compiled,1,8192,128,bfloat16,True,forward,100,300,0.6144000291824341,0.6172960102558136,0.6195200085639954,540.25,554.0,2.7636400819832283,,,,,success,1933.85074660182,,
attention,compiled,1,8192,128,bfloat16,True,backward,100,300,1.1027328252792359,1.1038719415664673,1.1059199571609497,544.25,662.0,,,,,,success,3330.2542343735695,,
attention,compiled,1,8192,128,bfloat16,True,forward_backward,100,300,1.6711679697036743,1.6732159852981567,1.675328016281128,670.25,788.0,,,,,,success,2.258390188217163,,
small_transformer,eager,,512,,bf16_autocast,,forward,,,,15.739433467388153,,563.0009765625,632.0,,,,,,success,353.6194711923599,,"[15.739433467388153, 15.635192394256592, 15.801902860403061, 15.4205821454525, 15.957962721586227]"
small_transformer,eager,,512,,bf16_autocast,,forward_backward,,,,42.326655238866806,,1541.283203125,1630.0,,,,,,success,133.87250527739525,,"[44.381316751241684, 42.54520684480667, 42.22262650728226, 42.326655238866806, 42.281899601221085]"
small_transformer,eager,,512,,bf16_autocast,,train_step,,,,54.37373369932175,,2567.6796875,2808.0,,,,,,success,138.4073831140995,,"[54.26944047212601, 54.25381287932396, 54.48784679174423, 54.37373369932175, 54.861217737197876]"
small_transformer,compiled,,512,,bf16_autocast,,forward,,,,9.59932804107666,,540.9990234375,680.0,,,,,,success,5828.636612743139,,"[9.59932804107666, 9.613342583179474, 9.54095646739006, 9.663227945566177, 9.551133960485458]"
small_transformer,compiled,,512,,bf16_autocast,,forward_backward,,,,29.613882303237915,,1241.36181640625,1390.0,,,,,,success,8679.303139448166,,"[29.957912862300873, 29.613882303237915, 29.49681133031845, 29.5540951192379, 32.68149122595787]"
small_transformer,compiled,,512,,bf16_autocast,,train_step,,,,41.99455678462982,,2499.14013671875,2828.0,,,,,,success,62.90092691779137,,"[41.99455678462982, 42.16332733631134, 41.76902398467064, 42.27789118885994, 41.68049991130829]"
